Concept,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
http://www.wikidata.org/entity/Q349,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
http://dbpedia.org/ontology/Reptile,0.0001,0.0,0.0001,0.0001,0.0,0.0002,0.0003,0.0,0.0001,0.0001,0.0002,0.0001,0.0001,0.0,0.0001,0.0001,0.0001,0.0002,0.0002,0.0001,0.0002,0.0001,0.0001,0.0001,0.0001,0.0001,0.0002,0.0001,0.0001,0.0001,0.0001,0,0,0
http://dbpedia.org/ontology/Glacier,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
http://www.wikidata.org/entity/Q39816,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
http://dbpedia.org/ontology/AmericanFootballLeague,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0
http://dbpedia.org/ontology/Stream,0.0003,0.0002,0.0002,0.0001,0.0006,0.0005,0.0001,0.0003,0.0003,0.0003,0.0002,0.0001,0.0002,0.0002,0.0003,0.0001,0.0006,0.0003,0.0002,0.0001,0.0002,0.0003,0.0001,0.0003,0.0006,0.0003,0.0002,0.0003,0.0005,0.0003,0.0002,0,0,0
http://www.wikidata.org/entity/Q737498,0.0002,0.0001,0.0001,0.0001,0.0003,0.0001,0.0003,0.0001,0.0,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0006,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,0.0001,0.0001,0.0,0.0,0.0001,0.0,0.0001,0.0001,0.0001,0,0,0
http://dbpedia.org/ontology/HistoricPlace,0.0003,0.0004,0.0002,0.0001,0.0002,0.0002,0.0002,0.0004,0.0004,0.0002,0.0002,0.0001,0.0002,0.0002,0.0004,0.0024,0.0014,0.0004,0.0004,0.0001,0.0001,0.0001,0.0004,0.0003,0.0002,0.0001,0.0001,0.0002,0.0003,0.0003,0.0002,0,0,0
http://www.wikidata.org/entity/Q3918,0.0004,0.0004,0.0006,0.0004,0.0006,0.0007,0.0004,0.0005,0.0004,0.0007,0.0004,0.0003,0.0004,0.0004,0.0005,0.0003,0.0004,0.0005,0.0005,0.0005,0.0005,0.0006,0.0005,0.0005,0.0004,0.0001,0.0003,0.0003,0.0003,0.0004,0.0004,0,0,0
http://dbpedia.org/ontology/FootballMatch,0.0001,0.0001,0.0002,0.0002,0.0003,0.0002,0.0001,0.0003,0.0001,0.0002,0.0004,0.0,0.0001,0.0001,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0,0.0001,0.0001,0.0002,0,0,0
